数据年月,贸易伙伴编码,贸易伙伴名称,商品编码,商品名称,美元
202511,502,美国,2906,环醇及其卤化、磺化、硝化或亚硝化衍生物,1548613.0
202511,502,美国,2907,酚；酚醇,1679737.0
202511,502,美国,2908,酚及酚醇的卤化、磺化、硝化或亚硝化衍生物,563235.0
202511,502,美国,2909,醚、醚醇、醚酚、醚醇酚、过氧化醇、过氧化醚、缩醛及半缩醛过氧化物、过氧化酮(不论是否已有化学定义）及其卤化、磺化、硝化或亚硝化衍生物,6013611.0
202511,502,美国,2910,三节环环氧化物、环氧醇、环氧酚、环氧醚及其卤化、磺化、硝化或亚硝化衍生物,206224.0
202511,502,美国,2911,缩醛及半缩醛，不论是否含有其他含氧基，及其卤化、磺化、硝化或亚硝化衍生物,88893.0
202511,502,美国,2912,醛，不论是否含有其他含氧基；环聚醛；多聚甲醛,5105716.0
202511,502,美国,2913,品目2912产品的卤化、磺化、硝化或亚硝化衍生物,12928.0
202511,502,美国,2914,酮及醌，不论是否含有其他含氧基，及其卤化、磺化、硝化或亚硝化衍生物,14822276.0
202511,502,美国,2915,饱和无环一元羧酸及其酸酐、酰卤化物、过氧化物和过氧酸以及它们的卤化、磺化、硝化或亚硝化衍生物,4108481.0
202511,502,美国,2916,不饱和无环一元羧酸、环一元羧酸及其酸酐、酰卤化物、过氧化物和过氧酸以及它们的卤化、磺化、硝化或亚硝化衍生物,11087041.0
202511,502,美国,2917,多元羧酸及其酸酐、酰卤化物、过氧化物和过氧酸以及它们的卤化、磺化、硝化或亚硝化衍生物,6181789.0
202511,502,美国,2918,含附加含氧基的羧酸及其酸酐、酰卤化物、过氧化物和过氧酸以及它们的卤化、磺化、硝化或亚硝化衍生物,28815761.0
202511,502,美国,2919,磷酸脂及其盐，包括乳磷酸盐，以及它们的卤化、磺化、硝化或亚硝化衍生物,2732992.0
202511,502,美国,2920,其他非金属无机酸酯（不包括卤化氢的酯）及其盐以及它们的卤化、磺化、硝化或亚硝化衍生物,2353709.0
202511,502,美国,2921,氨基化合物,8245671.0
202511,502,美国,2922,含氧基氨基化合物,18859828.0
202511,502,美国,2923,季铵盐及季铵碱；卵磷脂及其他磷氨基类脂,8523531.0
202511,502,美国,2924,羧基酰胺基化合物；碳酸酰胺基化合物,16339608.0
202511,502,美国,2925,羧基酰亚胺化合物（包括糖精及其盐）及亚胺基化合物,14240712.0
202511,502,美国,2926,腈基化合物,12105693.0
202511,502,美国,2927,重氮化合物、偶氮化合物及氧化偶氮化合物,250585.0
202511,502,美国,2928,肼（联氨）及胲（羟胺）的有机衍生物,4664426.0
202511,502,美国,2929,其他含氮基化合物,3063834.0
202511,502,美国,2930,有机硫化合物,26412445.0
202511,502,美国,2931,其他有机?无机化合物,36846458.0
202511,502,美国,2932,仅含氧杂原子的杂环化合物,26631921.0
202511,502,美国,2933,仅含有氮杂原子的杂环化合物,83868727.0
202511,502,美国,2934,核酸及其盐，不论是否已有化学定义；其他杂环化合物,38687949.0
202511,502,美国,2935,磺（酰）胺,10248072.0
202511,502,美国,2936,天然或合成再制的维生素原和维生素（包括天然浓缩物）及其主要用作维生素的衍生物，上述产品的混合物，不论是否溶于溶剂,33526154.0
202511,502,美国,2937,天然或合成再制的激素、前列腺素、血栓烷、白细胞三烯及其衍生物和结构类似物，包括主要用作激素的改性链多肽,67569271.0
202511,502,美国,2938,天然或合成再制的苷（配糖物）及其盐、醚、酯和其他衍生物,15820247.0
202511,502,美国,2939,天然或合成再制的生物碱及其盐、醚、酯和其他衍生物,2795265.0
202511,502,美国,2940,化学纯糖，但蔗糖、乳糖、麦芽糖、葡萄糖及果糖除外；糖醚、糖缩醛、糖酯及其盐，但不包括品目2937、2938及2939的产品,6058925.0
202511,502,美国,2941,抗菌素,8559224.0
202511,502,美国,2942,其他有机化合物,53897.0
202511,502,美国,3001,已干燥的器官疗法用腺体及其他器官，不论是否制成粉末；器官疗法用腺体、其他器官及其分泌物的提取物；肝素及其盐；其他供治疗或预防疾病用的其他品目未列名的人体或动物制品,2692997.0
202511,502,美国,3002,人血；治病、防病或诊断用的动物血制品；抗血清、其他血份及免疫制品，不论是否修饰或通过生物工艺加工制得；疫苗、毒素、培养微生物(不包括酵母）及类似产品；细胞培养物，不论是否修饰,17647269.0
202511,502,美国,3003,两种或两种以上成分混合而成的治病或防病药品（不包括品目3002、3005或3006的货品），未配定剂量或制成零售包装,2030885.0
202511,502,美国,3004,环己醇、甲基环己醇及二甲基环己醇,114498315.0
202511,502,美国,3005,软填料、纱布、绷带及类似物品（例如，敷料、橡皮膏、泥罨剂），经过药物浸涂或制成零售包装供医疗、外科、牙科或兽医用,64065349.0
202511,502,美国,3006,本章注释4 所规定的医药用品,27857481.0
202511,502,美国,3102,矿物氮肥及化学氮肥,16925.0
202511,502,美国,3105,含氮、磷、钾中二种或三种肥效元素的矿物肥料或化学肥料；其他肥料；制成片及类似形状或每件毛重不超过10千克的本章各项货品,13584.0
202511,502,美国,3203,动植物质着色料（包括染料浸膏，但动物炭黑除外），不论是否已有化学定义；本章注释3所述的以动植物质着色料为基本成分的制品,4909133.0
202511,502,美国,3204,有机合成着色料，不论是否已有化学定义；本章注释3所述的以有机合成着色料为基本成分的制品；用作荧光增白剂或发光体的有机合成产品，不论是否已有化学定义,6396872.0
202511,502,美国,3206,其他着色料；本章注释3所述的制品，但品目3203、3204及3205的货品除外；用作发光体的无机产品，不论是否已有化学定义,4171523.0
202511,502,美国,3207,陶瓷、搪瓷及玻璃工业用的调制颜料、遮光剂、着色剂、珐琅和釉料、釉底料（泥釉）、光瓷釉以及类似产品；搪瓷玻璃料及其他玻璃，呈粉、粒或粉片状,163049.0
202511,502,美国,3208,以合成聚合物或化学改性天然聚合物为基本成分的油漆及清漆（包括瓷漆及大漆），分散于或溶于非水介质的；本章注释4所述的溶液,1527501.0
202511,502,美国,3209,以合成聚合物或化学改性天然聚合物为基本成分的油漆及清漆（包括瓷漆及大漆），分散于或溶于水介质的,379578.0
202511,502,美国,3210,其他油漆及清漆（包括瓷漆、大漆及水浆涂料）；加工皮革用的水性颜料,47428.0
202511,502,美国,3211,配制的催干剂,3322.0
202511,502,美国,3212,制造油漆（含瓷漆）用的颜料（包括金属粉末或金属料片），分散于非水介质中呈液状、浆状的；压印箔；零售形状及零售包装的染料或其他着色料,103305.0
202511,502,美国,3213,艺术家、学生和广告美工用的颜料、调色料、文娱颜料及类似品，片状、管装、罐装、瓶装、扁盒装以及类似形状或包装,6464541.0
202511,502,美国,3214,安装玻璃用油灰、接缝用油灰、树脂胶泥、嵌缝胶济其他类似胶粘剂；漆工用填料；非耐火涂面制剂，涂门面、内墙、地板、天花板等用,2660075.0
