数据年月,贸易伙伴编码,贸易伙伴名称,商品编码,商品名称,人民币
202511,502,美国,2515,大理石、石灰华及其他石灰质碑用或建筑用石，表观比重≥2.5，蜡石，不论是否粗加修整或仅用锯或其他方法切割成矩形（包括正方形）的板、块,92574.0
202511,502,美国,2516,花岗岩、斑岩、玄武岩、砂岩以及其他等碑用或建筑用石，不论是否粗加修整或仅用锯或其他方法切割成矩形（包括正方形）的板、块,2145911.0
202511,502,美国,2517,通常作混凝土粒料、铺路、铁道路基或其他路基的卵石、砾石及碎石，圆石子及燧石，不论是否热处理；矿渣、浮渣及类似的工业残渣，不论是否混有本品目第一部分所列的材料；沥青碎石，品名2515、2516所列各种石料的碎粒、碎屑及粉末，不论是否认处理,94852.0
202511,502,美国,2518,白云石，不论是否煅烧或烧结、粗加修整或仅用锯或其他方法切割成矩形（包括正方形）的板、块,19607.0
202511,502,美国,2519,天然碳酸镁（菱镁矿）；熔凝镁氧矿；烧结镁氧矿，不论烧结前是否加入少量的其他氧化物；其他氧化镁不论是否纯净,715775.0
202511,502,美国,2520,生石膏；硬石膏；熟石膏（由煅烧的生石膏或硫酸钙构成），不论是否着色，也不论是否带有少量促凝剂或缓凝剂,1009231.0
202511,502,美国,2521,石灰石助熔剂；通常用于制造石灰或水泥的石灰石及其他钙质石,77276.0
202511,502,美国,2522,生石灰、熟石灰及水硬石灰，但品目2825的氧化钙及氢氧化钙除外,40902.0
202511,502,美国,2523,硅酸盐水泥、矾土水泥、矿渣水泥、富硫酸盐水泥及类似的水凝水泥,104348.0
202511,502,美国,2525,云母，包括云母片；云母废料,90966.0
202511,502,美国,2526,天然冻石，不论是否粗加修整或仅用锯或其他方法切割成矩形（包括正方形）的板、块；滑石,861323.0
202511,502,美国,2528,天然硼酸盐及其精矿(不论是否煅烧)，但不包括从天然盐水析离的硼酸盐；天然粗硼酸，含硼酸干重不超过85％,3717.0
202511,502,美国,2530,其他品目未列名的矿产品,4471941.0
202511,502,美国,2607,铅矿砂及其精矿,69515445.0
202511,502,美国,2613,钼矿砂及其精矿,82920999.0
202511,502,美国,2615,铌、钽、钒或锆矿砂及其精矿,21403976.0
202511,502,美国,2616,贵金属矿砂及其精矿,2001.0
202511,502,美国,2621,其他矿渣及矿灰，包括海藻灰（海草灰）；焚化城市垃圾所产生的灰、渣,1017240.0
202511,502,美国,2701,煤；煤砖、煤球及用煤制成的类似固体燃料,53761.0
202511,502,美国,2704,煤、褐煤或泥煤制成的焦炭及半焦炭，不论是否制成型；甑炭,1065.0
202511,502,美国,2707,蒸馏高温煤焦油所得的油类及其他产品；芳族成分重量超过非芳族成分的类品,749927.0
202511,502,美国,2708,从煤焦油或其他矿物焦油所得的沥青及沥青焦,8646.0
202511,502,美国,2710,石油及从沥青矿物提取的油类，但原油除外；以上述油为基本成分(按重量计不低于70%)的其他品目未列名制品；废油,55647401.0
202511,502,美国,2711,石油气及其他烃类气,3141552506.0
202511,502,美国,2712,凡士林；石蜡、微晶石蜡、疏松石蜡、地蜡、褐煤蜡、泥煤蜡、其他矿物蜡及用合成或其他方法制得的类似产品，不论是否着色,6325695.0
202511,502,美国,2713,石油焦、石油沥青及其他石油或从沥青矿物提取的油类残渣,266706775.0
202511,502,美国,2714,天然沥青（地沥青）、沥青页岩、油页岩及焦油砂；沥青岩,109235.0
202511,502,美国,2715,以天然沥青（地沥青）、石油沥青、矿物焦油或矿物焦油沥青为基本成分的沥青混合物（例如，沥青胶粘剂、稀释沥青）,10580828.0
202511,502,美国,2801,氟、氯、溴及碘,1946261.0
202511,502,美国,2802,升华硫磺、沉淀硫磺；胶态硫磺,449216.0
202511,502,美国,2803,碳（碳黑及其他品目未列名的其他形态的碳）,21988793.0
202511,502,美国,2804,氢、稀有气体及其他非金属,38566443.0
202511,502,美国,2805,碱金属、碱土金属；稀土金属、钪及钇，不论是否相互混合或相互熔合；汞,59536.0
202511,502,美国,2806,氯化氢（盐酸）；氯磺酸,97053.0
202511,502,美国,2807,硫酸；发烟硫酸,1404.0
202511,502,美国,2808,硝酸；磺硝酸,69053.0
202511,502,美国,2809,五氧化二磷；磷酸；多磷酸，不论是否已有化学定义,217507.0
202511,502,美国,2810,硼的氧化物；硼酸,29620768.0
202511,502,美国,2811,其他无机酸及非金属无机氧化物,12256203.0
202511,502,美国,2812,非金属卤化物及卤氧化物,8114607.0
202511,502,美国,2813,非金属硫化物；商品三硫化二磷,1213.0
202511,502,美国,2814,氨及氨水,57884.0
202511,502,美国,2815,氢氧化钠（烧碱）；氢氧化钾（苛性钾）；过氧化钠及过氧化钾,1492012.0
202511,502,美国,2816,氢氧化及过氧化镁；锶或钡的氧化物、氢氧化物及过氧化物,3900.0
202511,502,美国,2817,氧化锌及过氧化锌,143479.0
202511,502,美国,2818,人造刚玉，不论是否已有化学定义；氧化铝；氢氧化铝,75068674.0
202511,502,美国,2819,铬的氧化物及氢氧化物,1044416.0
202511,502,美国,2820,锰的氧化物,655.0
202511,502,美国,2821,铁的氧化物及氢氧化物；土色料，按重量计三氧化二铁含量≥70%,1970942.0
202511,502,美国,2822,钴的氧化物及氢氧化物；商品氧化钴,488.0
202511,502,美国,2823,钛的氧化物,881457.0
202511,502,美国,2824,铅的氧化物；铅丹及铅橙,66699.0
202511,502,美国,2825,肼（联氨）、胲（羟胺）及其无机盐；其他无机碱；其他金属氧化物、氢氧化物及过氧化物,7472001.0
202511,502,美国,2826,氟化物；氟硅酸盐、氟铝酸盐及其他氟络盐,9417291.0
202511,502,美国,2827,氯化物、氯氧化物及氢氧基氯化物；溴化物及溴氧化物；碘化物及碘氧化物,8281917.0
202511,502,美国,2828,次氯酸盐；商品次氯酸钙；亚氯酸盐；次溴酸盐,121679.0
202511,502,美国,2829,氯酸盐及高氯酸盐；溴酸盐及过溴酸盐；碘酸盐及高碘酸盐,456337.0
202511,502,美国,2830,硫化物；多硫化物，不论是否已有化学定义,421014.0
202511,502,美国,2831,连二亚硫酸盐及次硫酸盐,64998.0
202511,502,美国,2832,亚硫酸盐；硫代硫酸盐,8054.0
202511,502,美国,2833,硫酸盐；矾；过硫酸盐,1879404.0
202511,502,美国,2834,亚硝酸盐；硝酸盐,1318494.0
202511,502,美国,2835,次磷酸盐、亚磷酸盐及磷酸盐；多磷酸盐，不论是否已有化学定义,6558751.0
202511,502,美国,2836,碳酸盐；过碳酸盐；含氨基甲酸铵的商品碳酸铵,436749.0
202511,502,美国,2837,氰化物、氧氰化物及氰络合物,18359.0
202511,502,美国,2839,硅酸盐；商品碱金属硅酸盐,1190932.0
202511,502,美国,2840,硼酸盐及过硼酸盐,65741018.0
202511,502,美国,2841,金属酸盐及过金属酸盐,611404.0
202511,502,美国,2842,其他无机酸盐及过氧酸盐（包括不论是否已有化学定义的硅铝酸盐），但叠氮化物除外,657512.0
202511,502,美国,2843,胶态贵金属；贵金属的无机或有机化合物，不论是否已有化学定义；贵金属汞齐,16399005.0
202511,502,美国,2844,放射性化学元素及放射性同位素（包括可裂变或可转换的化学元素及同位素）及其化合物；含上述产品的混合物及残渣,6594273.0
202511,502,美国,2845,品目28.44以外的同位素；这些同位素的无机或有机化合物，不论是否已有化学定义,214742519.0
202511,502,美国,2846,稀土金属、钇、钪及其混合物的无机或有机化合物,1385588.0
202511,502,美国,2847,过氧化氢，不论是否用尿素固化,1637394.0
202511,502,美国,2849,碳化物，不论是否已有化学定义,45420.0
202511,502,美国,2850,氢化物、氮化物、叠氮化物、硅化物及硼化物，不论是否已有化学定义，但可归入品目2849的碳化物除外,12766310.0
202511,502,美国,2852,汞的无机或有机化合物，不论是否已有化学定义，汞齐除外,2170.0
202511,502,美国,2853,磷化物，不论是否已有化学定义，但磷铁除外；其他无机化合物（包括蒸馏水、导电水及类似的纯净水）；液态空气（不论是否除去稀有气体）；压缩空气；汞齐，但贵金属汞齐除外,2526090.0
202511,502,美国,2901,无环烃,2064255698.0
202511,502,美国,2902,环烃,5594250.0
202511,502,美国,2903,烃的卤化衍生物,41419141.0
202511,502,美国,2904,烃的磺化、硝化或亚硝化衍生物，不论是否卤化,1344996.0
202511,502,美国,2905,无环醇及其卤化、磺化、硝化或亚硝化衍生物,208438144.0
202511,502,美国,2906,环醇及其卤化、磺化、硝化或亚硝化衍生物,1469684.0
202511,502,美国,2907,酚；酚醇,8284997.0
202511,502,美国,2908,酚及酚醇的卤化、磺化、硝化或亚硝化衍生物,2471814.0
202511,502,美国,2909,醚、醚醇、醚酚、醚醇酚、过氧化醇、过氧化醚、缩醛及半缩醛过氧化物、过氧化酮(不论是否已有化学定义）及其卤化、磺化、硝化或亚硝化衍生物,22565739.0
202511,502,美国,2910,三节环环氧化物、环氧醇、环氧酚、环氧醚及其卤化、磺化、硝化或亚硝化衍生物,3059858.0
202511,502,美国,2911,缩醛及半缩醛，不论是否含有其他含氧基，及其卤化、磺化、硝化或亚硝化衍生物,139.0
202511,502,美国,2912,醛，不论是否含有其他含氧基；环聚醛；多聚甲醛,9856626.0
202511,502,美国,2913,品目2912产品的卤化、磺化、硝化或亚硝化衍生物,3502.0
202511,502,美国,2914,酮及醌，不论是否含有其他含氧基，及其卤化、磺化、硝化或亚硝化衍生物,5470232.0
202511,502,美国,2915,饱和无环一元羧酸及其酸酐、酰卤化物、过氧化物和过氧酸以及它们的卤化、磺化、硝化或亚硝化衍生物,15336545.0
202511,502,美国,2916,不饱和无环一元羧酸、环一元羧酸及其酸酐、酰卤化物、过氧化物和过氧酸以及它们的卤化、磺化、硝化或亚硝化衍生物,5028467.0
202511,502,美国,2917,多元羧酸及其酸酐、酰卤化物、过氧化物和过氧酸以及它们的卤化、磺化、硝化或亚硝化衍生物,18652772.0
202511,502,美国,2918,含附加含氧基的羧酸及其酸酐、酰卤化物、过氧化物和过氧酸以及它们的卤化、磺化、硝化或亚硝化衍生物,2888563.0
202511,502,美国,2919,磷酸脂及其盐，包括乳磷酸盐，以及它们的卤化、磺化、硝化或亚硝化衍生物,1348985.0
202511,502,美国,2920,其他非金属无机酸酯（不包括卤化氢的酯）及其盐以及它们的卤化、磺化、硝化或亚硝化衍生物,4682114.0
202511,502,美国,2921,氨基化合物,18953838.0
202511,502,美国,2922,含氧基氨基化合物,11237838.0
202511,502,美国,2923,季铵盐及季铵碱；卵磷脂及其他磷氨基类脂,8258806.0
202511,502,美国,2924,羧基酰胺基化合物；碳酸酰胺基化合物,2608385.0
202511,502,美国,2925,羧基酰亚胺化合物（包括糖精及其盐）及亚胺基化合物,11949347.0
202511,502,美国,2926,腈基化合物,69270509.0
202511,502,美国,2927,重氮化合物、偶氮化合物及氧化偶氮化合物,80565.0
202511,502,美国,2928,肼（联氨）及胲（羟胺）的有机衍生物,2563016.0
202511,502,美国,2929,其他含氮基化合物,304327.0
202511,502,美国,2930,有机硫化合物,45109831.0
202511,502,美国,2931,其他有机?无机化合物,16095861.0
202511,502,美国,2932,仅含氧杂原子的杂环化合物,10047654.0
202511,502,美国,2933,仅含有氮杂原子的杂环化合物,119767144.0
202511,502,美国,2934,核酸及其盐，不论是否已有化学定义；其他杂环化合物,13183463.0
202511,502,美国,2935,磺（酰）胺,64279.0
202511,502,美国,2936,天然或合成再制的维生素原和维生素（包括天然浓缩物）及其主要用作维生素的衍生物，上述产品的混合物，不论是否溶于溶剂,9606324.0
202511,502,美国,2937,天然或合成再制的激素、前列腺素、血栓烷、白细胞三烯及其衍生物和结构类似物，包括主要用作激素的改性链多肽,101897.0
202511,502,美国,2938,天然或合成再制的苷（配糖物）及其盐、醚、酯和其他衍生物,3500765.0
202511,502,美国,2939,天然或合成再制的生物碱及其盐、醚、酯和其他衍生物,714586.0
202511,502,美国,2940,化学纯糖，但蔗糖、乳糖、麦芽糖、葡萄糖及果糖除外；糖醚、糖缩醛、糖酯及其盐，但不包括品目2937、2938及2939的产品,2654168.0
