Date of data,Trading partner code,Trading partner,Commodity code,Commodity,US dollar
202510,502,United States,180690,"Chocolate and other preparations containing cocoa, in containers or immediate packings of ≤ 2 kg (excluding in blocks, slabs or bars and cocoa powder)",1768165.0
202510,502,United States,190110,"Preparations suitable for infants or young children, put up for retail sale",1879724.0
202510,502,United States,190120,Mixes and doughs for the preparation of bakers' wares of heading 19.05,22559.0
202510,502,United States,190190,"Other food prep. of flour(cocoa＜40%)/milk(cocoa＜5%), nes",3447.0
202510,502,United States,190219,"Uncooked pasta, not stuffed or otherwise prepared, not containing eggs",173.0
202510,502,United States,190220,"Stuffed pasta, whether or not cooked or otherwise prepared",13.0
202510,502,United States,190230,Other pasta,6228.0
202510,502,United States,190410,Prepared foods obtained by the swelling or roasting of cereals or cereal products,213540.0
202510,502,United States,190420,Prepared foods obtained from unroasted cereal flakes or from mixtures of unroasted cereal flakes and roasted cereal flakes or swelled cereals,34900.0
202510,502,United States,190430,Bulgur wheat,37.0
202510,502,United States,190490,Other precooked or otherwise prepared cereals (other than maize (corn) ),9766.0
202510,502,United States,190531,Sweet biscuits,18073.0
202510,502,United States,190532,Waffles and wafers,59.0
202510,502,United States,190590,"Bread, pastry, cakes, biscuits and other bakers' wares, whether or not containing cocoa; communion wafers, empty cachets of a kind suitable for pharmaceutical use, sealing wafers, rice paper and similar products (excluding crispbread, gingerbread and the like, sweet biscuits, waffles, wafers not mentioned, rusks, toasted bread and similar toasted products)",218024.0
202510,502,United States,200110,"Cucumbers and gherkins, prepared or preserved by vinegar or acetic acid",129389.0
202510,502,United States,200210,"Tomatoes, whole or in pieces",2267.0
202510,502,United States,200410,"Potatoes, prepared or preserved otherwise than by vinegar or acetic acid, frozen",623928.0
202510,502,United States,200510,"Homogenised vegetables put up for retail sale as infant food or for dietetic purposes, in containers of ≤ 250 g",194.0
202510,502,United States,200520,"Potatoes, prepared or preserved otherwise than by vinegar or acetic acid (excluding frozen)",319183.0
202510,502,United States,200599,"Vegetables and mixtures of vegetables, prepared or preserved otherwise than by vinegar, non-frozen (excluding preserved by sugar, homogenised vegetables of subheading 2005.10, and tomatoes, mushrooms, truffles, potatoes, peas Pisum sativum"", beans ""Vigna, Phaseolus"", asparagus, olives, sweetcorn ""Zea Mays var. Saccharata"" and bamboo shoots, unmixed)""",22941.0
202510,502,United States,200600,"Vegetables, fruit, nuts, fruitpeel and other parts of plants, preserved by sugar (drained, glacé or crystallised).",19340.0
