"Date of data","Trading partner code","Trading partner","Commodity code","Commodity","Renminbi Yuan",
"202505","502","United States","2005","Other vegetables prepared or preserved otherwise than by 
vinegar or acetic acid, not frozen, other than products of 
heading 20.06.","102,299,843",
"202505","502","United States","2006","Vegetables, fruit, nuts, fruitpeel and other parts of plants, preserved by sugar (drained, glacé or crystallised).","1,578,500",
"202505","502","United States","2007","Jams, fruit jellies, marmalades, fruit or nut purée and fruit or 
nut pastes, obtained by cooking, whether or not containing added sugar or other sweetening matter.","604,840",
"202505","502","United States","2008","Fruit, nuts and other edible parts of plants, otherwise prepared or preserved, whether or not containing added sugar or other sweetening matter or spirit, not elsewhere specified or included.","127,466,459",
"202505","502","United States","2009","Fruit or nut juices (including grape must and coconut water) and vegetable juices, unfermented and not containing added spirit, whether or not containing added sugar or other sweetening matter","47,564,907",
"202505","502","United States","2101","Extracts, essences and concentrates, of coffee, tea or maté and preparations with a basis of these products or with a basis of coffee, tea or mate; roasted chicory and other roasted coffee substitutes, and extracts, essences and concentrates thereof","11,425,789",
"202505","502","United States","2102","Yeasts (active or inactive); other singlecell microorganisms, dead (but not including vaccines of heading 30.02); prepared baking powders.","11,693,977",
"202505","502","United States","2103","Sauce and preparations therefor; mixed condiments and mixed seasonings; mustard flour and meal, whether or not prepared, and mustard","64,626,999",
"202505","502","United States","2104","Soups and broths and preparations therefor; homogenised composite food preparations.","2,963,815",
"202505","502","United States","2105","Ice cream and other edible ice, whether or not containing cocoa.","14,987,895",
"202505","502","United States","2106","Food preparations not elsewhere specified or included.","193,969,705",
"202505","502","United States","2201","Waters, including natural or artificial mineral waters andaerated waters, not containing added sugar or other sweetening
matter nor flavoured; ice and snow.","29,457",
"202505","502","United States","2202","Waters, including mineral waters and aerated waters, containing added sugar or other sweetening matter or flavoured, and other non-alcoholic beverages, not including fruit, nut or vegetable juices of heading 20.09","21,316,591",
"202505","502","United States","2203","Beer made from malt.","1,270,147",
"202505","502","United States","2204","Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.","91,558",
"202505","502","United States","2206","Other fermented beverages (for example, cider, perry, mead, saké); mixtures of fermented beverages and mixtures of fermented beverages and nonalcoholic beverages, not elsewhere 
specified or included.","961,536",
"202505","502","United States","2207","Undenatured ethyl alcohol of an alcoholic strength by volume of 80% vol.or higher; ethyl alcohol and other spirits, denatured, of any strength.","289",
"202505","502","United States","2208","Undenatured ethyl alcohol of an alcoholic strength by volume of Undenatured ethyl alcohol of an alcoholic strength by volume of less than 80% vol.; spirits, liqueurs and other spirituous beverages.","5,076,683",
"202505","502","United States","2209","Vinegar and substitutes for vinegar obtained from acetic acid.","1,730,179",
"202505","502","United States","2303","Residues of starch manufacture and similar residues, beetpulp, bagasse and other waste of sugar manufacture, brewing ordistilling dregs and waste, whether or not in the form of pellets.","212,143",
"202505","502","United States","2306","Oil-cake and other solid residues, whether or not ground or in the form of pellets, resulting from the extraction of vegetable or microbial fats or oils, other than those of heading 23.04 or 23.05","309,950",
"202505","502","United States","2308","Vegetable materials and vegetable waste, vegetable residues and byproducts, whether or not in the form of pellets, of a kind used in animal feeding, not elsewhere specified or included.","2,590,810",
"202505","502","United States","2309","Preparations of a kind used in animal feeding.","106,351,571",
"202505","502","United States","2404","Products containing tobacco, reconstituted tobacco, nicotine, or tobacco or nicotine substitutes, intended for inhalation without combustion; other nicotine containing products intended for the intake of nicotine into the human body","1,070,558,081",
"202505","502","United States","2501","Salts, incl. table salt and denatured salt, and pure sodium chloride, whether or not in aqueous solution or containing added anti-caking or free-flowing agents; sea water","795,614",
"202505","502","United States","2504","Natural graphite.","584,277",
"202505","502","United States","2506","Quartz (excluding natural sands); quartzite, whether or not roughly trimmed or merely cut, by sawing or otherwise, into blocks or slabs of a square or rectangular shape","452,603",
"202505","502","United States","2507","Kaolin and other kaolinic clays, whether or not calcined","103,550",
"202505","502","United States","2508","Other clays (not including expanded clays of heading 68.06), andalusite, kyanite and sillimanite, whether or not calcined; mullite; chamotte or dinas earths.","7,658,367",
"202505","502","United States","2512","Siliceous fossil meals, e.g. kieselguhr, tripolite and diatomite, and similar siliceous earths, whether or not calcined, of an apparent specific gravity of 1 or less.","25,728",
"202505","502","United States","2513","Pumice stone; emery; natural corundum, natural garnet and other natural abrasives, whether or not heat-treated","685,414",
"202505","502","United States","2515","Marble, travertine, ecaussine and other calcareous monumental or building stone of an apparent specific gravity of 2.5 or more, and alabaster, whether or not roughly trimmed or merely cut, by sawing or otherwise, into blocks or slabs of a rectangular (including square) shape.","68,238",
"202505","502","United States","2517","Pebbles, gravel, broken or crushed stone, for concrete aggregates, for road metalling or for railway ballast, shingle and flint, whether or not heat-treated; macadam of slag, dross or similar industrial waste, whether or not incorporating the materials cited in the first part of the heading; tarred macadam; granules, chippings and powder, of stones of heading 2515 and 2516, whether or not heat-treated","3,779,383",
"202505","502","United States","2518","Dolomite, whether or not calcined or sintered, including dolomite roughly trimmed or merely cut, by sawing or otherwise, into blocks or slabs of a rectangular (including square) shape","209,068",
"202505","502","United States","2519","Natural magnesium carbonate "magnesite"; fused magnesia; dead-burned "sintered" magnesia, whether or not containing small quantities of other oxides added before sintering; other magnesium oxide, whether or not pure","72,157,696",
"202505","502","United States","2520","Gypsum; anhydrite; plasters consisting of calcined gypsum or calcium sulphate, whether or not coloured, with or without small quantities of accelerators or retarders","125,722",
"202505","502","United States","2521","Limestone flux; limestone and other calcareous stone, of a kind used for the manufacture of lime or cement","21,291",
"202505","502","United States","2525","Mica, including splittings; mica waste.","1,762,275",
"202505","502","United States","2526","Natural steatite, whether or not roughly trimmed or merely cut, by sawing or otherwise, into blocks or slabs of a rectangular (including square) shape; talc.","340,661",
"202505","502","United States","2529","Feldspar; leucite, nepheline and nepheline syenite; fluorspar.","1,001,631",
"202505","502","United States","2530","Mineral substances not elsewhere specified or included.","123,885",
"202505","502","United States","2602","Manganese ores and concentrates, including ferruginous manganese ores and concentrates with a manganese content of 20% or more,calculated on the dry weight.","7",
"202505","502","United States","2615","Niobium, tantalum, vanadium or zirconium ores and concentrates.","5,567,750",
"202505","502","United States","2621","Other slag and ash, including seaweed ash (kelp); ash and residues from the incineration of municipal waste.","81,436",
"202505","502","United States","2701","Mituminous substances; mineral waxes","38,996",
"202505","502","United States","2710","Petroleum oils and oils obtained from bituminous minerals, other than crude; preparations not elsewhere specified or 
included, containing by weight 70% or more of petroleum oils or of oils obtained from bituminous minerals, these oils being the basic constituents of the preparations; waste oils.","343,912,729",
"202505","502","United States","2711","Petroleum gases and other gaseous hydrocarbons.","6,226,394",
"202505","502","United States","2712","Petroleum jelly, paraffin wax, micro- crystalline petroleum wax, slack wax, ozokerite, lignite wax, peat wax, other mineral waxes, and similar products obtained by synthesis or by other processes, whether or not coloured","28,944,944",
"202505","502","United States","2713","Petroleum coke, petroleum bitumen and other residues of petroleum oils or of oils obtained from bituminous minerals.","12,694",
"202505","502","United States","2803","Carbon (carbon blacks and other forms of carbon not elsewhere specified or included).","865,169",
"202505","502","United States","2804","ydrogen, rare gases and other nonmetals.","1,339,739",
"202505","502","United States","2805","Alkali or alkaline-earth metals; rare-earth metals, scandium and yttrium, whether or not intermixed or interalloyed; mercury","9,159,151",
"202505","502","United States","2806","Hydrogen chloride "hydrochloric acid"; chlorosulphuric acid","2,243,300",
"202505","502","United States","2807","Sulphuric acid; oleum.","256,907",
"202505","502","United States","2808","Nitric acid; sulphonitric acids.","272,877",
"202505","502","United States","2809","Diphosphorus pentaoxide; phosphoric acid; polyphosphoric acids, whether or not chemically defined","284,975",
"202505","502","United States","2810","Oxides of boron; boric acids.","164,318",
"202505","502","United States","2811","Other inorganic acids and other inorganic oxygen compounds of nonmetals.","31,005,055",
"202505","502","United States","2812","Halides and halide oxides of nonmetals.","387,715",
"202505","502","United States","2815","Sodium hydroxide (caustic soda), potassium hydroxide (caustic potash); peroxides of sodium or potassium","501,133",
"202505","502","United States","2816","Oydroxide and peroxide of magnesium; oxides, hydroxides and peroxides, of strontium or barium.","2,343,894",
"202505","502","United States","2817","Zinc oxide; zinc peroxide.","683,879",
"202505","502","United States","2818","Artificial corundum, whether or not chemically defined;aluminium oxide; aluminium hydroxide.","71,738,105",
"202505","502","United States","2819","Chromium oxides and hydroxides","995",
"202505","502","United States","2820","Manganese oxides.","29,654",
"202505","502","United States","2821","Iron oxides and hydroxides; earth colours containing 70% or more by weight of combined iron evaluated as Fe2O3.","27,735,138",
"202505","502","United States","2822","Cobalt oxides and hydroxides; commercial cobalt oxides.","132,003",
"202505","502","United States","2823","Titanium oxides.","5,211,285",
"202505","502","United States","2825","Hydrazine and hydroxylamine and their inorganic salts; other inorganic bases; other metal oxides, hydroxides and peroxides.","10,582,749",
"202505","502","United States","2826","Hluorides; fluorosilicates, fluoroaluminates and other complex fluorine salts.","27,068,780",
"202505","502","United States","2827","Chlorides, chloride oxides and chloride hydroxides; bromides and bromide oxides; iodides and iodide oxides","78,610,612",
"202505","502","United States","2828","Hypochlorites; commercial calcium hypochlorite; chlorites; hypobromites","333,687",
"202505","502","United States","2830","Sulphides; polysulphides, whether or not chemically defined","1,839,255",
"202505","502","United States","2831","Dithionites and sulfoxylates","93,917",
"202505","502","United States","2832","Sulphites; thiosulphates","1,038,207",
"202505","502","United States","2833","Sulphates; alums; peroxosulphates (persulphates)","12,022,681",
"202505","502","United States","2835","Phosphinates (hypophosphites), phosphonates (phosphites) and phosphates; polyphosphates, whether or not chemically defined.","17,268,506",
"202505","502","United States","2836","Carbonates; peroxocarbonates "percarbonates"; commercial ammonium carbonate containing ammonium carbamate","9,887,552",
"202505","502","United States","2837","Cyanides, cyanide oxides and complex cyanides.","719,418",
"202505","502","United States","2839","Silicates; commercial alkali metal silicates.","434,102",
"202505","502","United States","2840","Borates; peroxoborates (perborates).","286,966",
"202505","502","United States","2841","Salts of oxometallic or peroxometallic acids.","41,736,892",
"202505","502","United States","2842","Salts of inorganic acids or peroxoacids, incl. aluminosilicates whether or not chemically defined (excluding of oxometallic or peroxometallic acids and azides, and inorganic or organic compounds of mercury)","7,933,168",
"202505","502","United States","2843","Colloidal precious metals; inorganic or organic compounds of 
precious metals, whether or not chemically defined; amalgams of 
precious metals.","121,902",
"202505","502","United States","2845","Non-radioactive isotopes; inorganic or organic compounds of such isotopes, whether or not chemically defined","912,981",
