Date of data,Trading partner code,Trading partner,Commodity code,Commodity,US dollar
201902,502,United States,160521,Shrimps and prawns not in airtight container,1206021
201902,502,United States,160529,Other shrimps and prawns,2794717
201902,502,United States,160540,Other crustaceans,691230
201902,502,United States,160551,Prepared or preserved Oysters,487250
201902,502,United States,160552,"Prepared or preserved scallops, including queen scallops",595939
201902,502,United States,160553,Prepared or preserved mussels,38539
201902,502,United States,160554,Prepared or preserved cuttle fish and squid,2994835
201902,502,United States,160555,Prepared or preserved Octopus,541334
201902,502,United States,160556,"Prepared or preserved Clams, cockles and arkshells",766922
201902,502,United States,160557,Prepared or preserved Abalone,67400
201902,502,United States,160559,"Molluscs, prepared or preserved (excluding smoked, oysters, scallops, mussels, cuttle fish, squid, octopus, abalone, snails, and clams, cockles and arkshells)",90128
201902,502,United States,160563,"Jellyfish,prepared or preserved",67074
201902,502,United States,160569,"Aquatic invertebrates, prepared or preserved (excluding smoked, crustaceans, molluscs, sea cucumbers, sea urchins and jellyfish)",38616
201902,502,United States,170199,"Cane or beet sugar and chemically pure sucrose, in solid form (excluding cane and beet sugar containing added flavouring or colouring and raw sugar)",204283
201902,502,United States,170230,"Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20% by weight of fructose",197282
201902,502,United States,170290,"Other, including invert sugar and other sugar and sugar syrup blends containing in the dry state 50% by weight of fructose",1563596
201902,502,United States,170410,"Chewing gum, whether or not sugarcoated",48724
201902,502,United States,170490,Other,5217462
201902,502,United States,180400,"Cocoa butter, fat and oil.",525272
201902,502,United States,180610,"Cocoa powder, containing added sugar or other sweetening matter",766
201902,502,United States,180620,"Other preparations in blocks, slabs or bars weighing more than 2 kg or in liquid, paste, powder, granular or other bulk form in containers or immediate packings, of a content exceeding 2 kg",210
201902,502,United States,180632,"Chocolate and other preparations containing cocoa, in blocks, slabs or bars of ≤ 2 kg (excluding filled)",645
201902,502,United States,180690,"Chocolate and other preparations containing cocoa, in containers or immediate packings of ≤ 2 kg (excluding in blocks, slabs or bars and cocoa powder)",115312
201902,502,United States,190120,Mixes and doughs for the preparation of bakers' wares of heading 19.05,31629
201902,502,United States,190190,Other,32271
201902,502,United States,190219,"Uncooked pasta, not stuffed or otherwise prepared, not containing eggs",192496
201902,502,United States,190220,"Stuffed pasta, whether or not cooked or otherwise prepared",1417059
201902,502,United States,190230,Other pasta,4758812
201902,502,United States,190300,"Tapioca and substitutes therefor prepared from starch, in the form of flakes, grains, pearls, siftings or in similar forms.",130994
201902,502,United States,190410,Prepared foods obtained by the swelling or roasting of cereals or cereal products,1057755
201902,502,United States,190490,Other,242488
201902,502,United States,190531,Sweet biscuits,247272
201902,502,United States,190540,"Rusks, toasted bread and similar toasted products",8430
201902,502,United States,190590,"Bread, pastry, cakes, biscuits and other bakers' wares, whether or not containing cocoa; communion wafers, empty cachets of a kind suitable for pharmaceutical use, sealing wafers, rice paper and similar products (excluding crispbread, gingerbread and the like, sweet biscuits, waffles, wafers not mentioned, rusks, toasted bread and similar toasted products)",645183
201902,502,United States,200110,"Cucumbers and gherkins, prepared or preserved by vinegar or acetic acid",351
201902,502,United States,200190,"Vegetables, fruit, nuts and other edible parts of plants, prepared or preserved by vinegar or acetic acid (excluding cucumbers and gherkins)",348563
201902,502,United States,200290,"Tomatoes, prepared or preserved otherwise than by vinegar or acetic acid (excluding whole or in pieces)",15513
201902,502,United States,200310,"Mushrooms of the genus ""Agaricus"", prepared or preserved otherwise than by vinegar or acetic acid",266092
201902,502,United States,200390,"Mushrooms and truffles, prepared or preserved otherwise than by vinegar or acetic acid (excluding mushrooms of the genus ""Agaricus"")",11883
201902,502,United States,200490,"Vegetables and mixtures of vegetables, prepared or preserved otherwise than by vinegar or acetic acid, frozen (excluding preserved by sugar, and tomatoes, mushrooms, truffles and potatoes, unmixed)",1316139
201902,502,United States,200520,"Potatoes, prepared or preserved otherwise than by vinegar or acetic acid (excluding frozen)",74232
201902,502,United States,200540,"Peas ""Pisum Sativum"", prepared or preserved otherwise than by vinegar or acetic acid (excluding frozen)",110128
201902,502,United States,200551,"Shelled beans ""Vigna spp., Phaseolus spp."", prepared or preserved otherwise than by vinegar or acetic acid (excluding frozen)",48953
201902,502,United States,200559,"Unshelled beans ""Vigna spp., Phaseolus spp."", prepared or preserved otherwise than by vinegar or acetic acid (excluding frozen)",172767
201902,502,United States,200580,"Sweet corn (Zea mays var. saccharata), prepared or preserved otherwise than by vinegar or acetic acid (excluding frozen)",234335
201902,502,United States,200591,"Bamboo shoots, prepared or preserved otherwise than by vinegar or acetic acid (excluding frozen)",1475554
201902,502,United States,200599,"Vegetables and mixtures of vegetables, prepared or preserved otherwise than by vinegar, non-frozen (excluding preserved by sugar, homogenised vegetables of subheading 2005.10, and tomatoes, mushrooms, truffles, potatoes, peas ""Pisum sativum"", beans ""Vigna, Phaseolus"", asparagus, olives, sweetcorn ""Zea Mays var. Saccharata"" and bamboo shoots, unmixed)",4669765
201902,502,United States,200600,"Vegetables, fruit, nuts, fruitpeel and other parts of plants, preserved by sugar (drained, glacé or crystallised).",281497
201902,502,United States,200710,"Homogenised preparations of jams, fruit jellies, marmalades, fruit or nut purée and fruit or nut pastes, obtained by cooking, whether or not containing added sugar or other sweetening matter.",3450
201902,502,United States,200799,"Jams, jellies, marmalades, purées or pastes of fruit, obtained by cooking, whether or not containing added sugar or other sweetening matter (excluding citrus fruit and homogenised preparations of subheading 2007.10)",906707
201902,502,United States,200811,"Groundnuts, prepared or preserved (excluding preserved with sugar)",541451
201902,502,United States,200819,"Other, including mixtures",2953014
201902,502,United States,200820,Pineapples,177324
201902,502,United States,200830,Citrus fruit,14477470
201902,502,United States,200840,Pears,820460
201902,502,United States,200850,Apricots,25170
201902,502,United States,200870,"Peaches, including nectarines",1940283
201902,502,United States,200880,Strawberries,259632
201902,502,United States,200897,Mixtures,734235
201902,502,United States,200899,Other,7404269
201902,502,United States,200912,"Orange juice, unfermented, Brix value ≤ 20 at 20°C, whether or not containing added sugar or other sweetening matter (excluding containing spirit and frozen)",2391
201902,502,United States,200931,"Single citrus fruit juice, unfermented, Brix value ≤ 20 at 20°C, whether or not containing added sugar or other sweetening matter (excluding containing spirit, mixtures, orange juice and grapefruit juice)",4160
201902,502,United States,200950,Tomato juice,189
201902,502,United States,200971,"Apple juice, unfermented, Brix value ≤ 20 at 20°C, whether or not containing added sugar or other sweetening matter (excluding containing spirit)",346
201902,502,United States,200979,"Apple juice, unfermented, Brix value > 20 at 20°C, whether or not containing added sugar or other sweetening matter (excluding containing spirit)",273242
201902,502,United States,200989,Other,606173
201902,502,United States,200990,Mixtures of juices,605
201902,502,United States,210111,"Extracts, essences and concentrates, of coffee",10927
201902,502,United States,210112,"Preparations with a basis of extracts, essences or concentrates of coffee or with a basis of coffee",82650
201902,502,United States,210120,"Extracts, essences and concentrates, of tea or mate, and preparations with a basis of these extracts, essences or concentrates, or with a basis of tea or maté",2580434
201902,502,United States,210210,Active yeasts,273430
201902,502,United States,210220,Inactive yeasts; other dead single-cell micro-organisms (excluding packaged as medicaments),1228990
201902,502,United States,210230,Prepared baking powders,5930
201902,502,United States,210310,Soya sauce,234997
201902,502,United States,210320,Tomato ketchup and other tomato sauces,76931
201902,502,United States,210330,Mustard flour and meal and prepared mustard,3300
201902,502,United States,210390,"Preparations for sauces and prepared sauces; mixed condiments and seasonings (excluding soya sauce, tomato ketchup and other tomato sauces, mustard, and mustard flour and meal)",3793787
201902,502,United States,210410,Soups and broths and preparations therefor,30941
201902,502,United States,210610,Protein concentrates and textured protein substances,6546961
201902,502,United States,210690,"Food preparations, n.e.s.",14957661
201902,502,United States,220110,"Mineral waters and aerated waters, not containing added sugar, other sweetening matter or flavoured",32328
201902,502,United States,220210,"Waters, including mineral waters and aerated waters, containing added sugar or other sweetening matter or flavoured",480966
201902,502,United States,220299,"Non-alcoholic beverages (excl. water, fruit or vegetable juices, milk and beer)",935458
201902,502,United States,220300,Beer made from malt.,205838
201902,502,United States,220410,Sparkling wine,3059
201902,502,United States,220421,"Wine of fresh grapes, incl. fortified wines, and grape must whose fermentation has been arrested by the addition of alcohol, in containers of ≤ 2 l (excluding sparkling wine)",26367
